RBD	COD_REG_RBD	COD_PRO_RBD	COD_COM_RBD	MAT_HOM_TOT	MAT_MUJ_TOT	MAT_TOTAL
1	15	151	15101	451	351	802
2	15	151	15101	108	92	200
3	15	151	15101	373	131	504
4	15	151	15101	506	581	1087
5	15	151	15101	526	449	975
7	15	151	15101	637	429	1066
8	15	151	15101	364	285	649
9	15	151	15101	793	736	1529
10	15	151	15101	1	157	158
11	15	151	15101	228	169	397
12	15	151	15101	173	148	321
13	15	151	15101	158	108	266
14	15	151	15101	128	89	217
15	15	151	15101	184	198	382
16	15	151	15101	184	91	275
17	15	151	15101	162	173	335
18	15	151	15101	186	144	330
19	15	151	15101	185	151	336
20	15	151	15101	256	196	452
21	15	151	15101	0	0	0
22	15	151	15101	540	460	1000
25	15	151	15101	353	271	624
26	15	151	15101	85	75	160
27	15	151	15101	146	98	244
28	15	151	15101	391	398	790
29	15	151	15101	294	234	528
30	15	151	15101	111	69	180
31	15	151	15101	212	213	425
32	15	151	15101	411	362	773
33	15	151	15101	104	92	196
35	15	151	15101	53	58	111
36	15	151	15101	141	154	295
38	15	151	15101	273	267	540
39	15	151	15101	48	33	81
41	15	151	15101	12	16	28
42	15	151	15101	8	9	17
43	15	151	15101	18	19	37
44	15	151	15101	0	0	0
45	15	151	15101	0	921	921
46	15	151	15101	10	11	21
47	15	151	15101	0	0	0
49	15	151	15101	20	28	48
50	15	151	15101	281	296	577
51	15	151	15101	0	0	0
52	15	151	15101	1967	1985	3952
55	15	151	15101	73	77	150
56	15	151	15101	454	470	924
57	15	151	15101	0	0	0
58	15	151	15101	22	34	56
59	15	151	15101	284	268	552
60	15	151	15101	439	466	905
65	15	151	15101	0	0	0
66	15	151	15101	12	14	26
67	15	151	15101	301	289	590
69	15	151	15101	342	392	734
70	15	151	15102	4	4	8
72	15	151	15102	22	17	39
73	15	151	15102	2	0	2
74	15	151	15102	4	2	6
75	15	151	15102	5	3	8
76	15	151	15102	4	6	10
78	15	152	15201	122	91	213
79	15	152	15201	13	9	22
81	15	152	15201	3	0	3
82	15	152	15201	2	0	2
83	15	152	15201	3	3	6
84	15	152	15201	2	2	4
86	15	152	15201	3	1	4
87	15	152	15202	1	0	1
88	15	152	15202	1	0	1
89	15	152	15202	1	0	1
90	15	152	15202	14	12	26
91	15	152	15202	4	1	5
92	15	152	15202	0	1	1
93	15	152	15202	3	2	5
94	15	152	15202	0	1	1
95	15	152	15202	0	1	1
97	1	11	1101	146	212	358
98	1	11	1101	0	0	0
100	1	11	1101	0	0	0
101	1	11	1101	0	0	0
102	1	11	1101	70	41	111
103	1	11	1101	198	292	490
105	1	11	1101	50	28	78
106	1	11	1101	242	92	334
107	1	11	1101	246	266	512
108	1	11	1101	267	231	498
109	1	11	1101	60	114	174
110	1	11	1101	462	456	918
111	1	11	1101	310	257	567
112	1	11	1101	369	269	638
113	1	11	1101	548	377	925
114	1	11	1101	288	247	535
115	1	11	1101	0	0	0
116	1	11	1101	323	305	628
117	1	11	1101	285	260	545
119	1	11	1101	288	211	499
120	1	11	1101	0	0	0
122	1	11	1101	187	163	350
123	1	11	1101	287	280	567
124	1	11	1101	627	506	1133
125	1	11	1101	563	495	1058
126	1	11	1101	335	304	639
127	1	11	1101	1	888	889
128	1	11	1101	0	0	0
129	1	11	1101	52	50	102
130	1	11	1101	204	161	365
131	1	11	1101	138	130	268
132	1	11	1101	882	913	1795
133	1	11	1101	386	403	789
134	1	11	1101	175	149	324
136	1	11	1101	4	9	13
138	1	11	1101	0	0	0
139	1	11	1101	27	37	64
143	1	11	1101	0	0	0
144	1	11	1101	202	156	358
145	1	11	1101	0	0	0
147	1	11	1101	0	0	0
148	1	11	1101	0	0	0
150	1	11	1101	0	0	0
151	1	11	1101	0	0	0
154	1	14	1404	13	10	23
156	1	14	1404	37	30	67
158	1	14	1404	0	1	1
159	1	14	1404	1	2	3
160	1	14	1404	15	12	27
161	1	14	1404	156	120	276
162	1	14	1404	21	21	42
165	1	14	1404	2	3	5
167	1	14	1402	41	47	88
168	1	14	1402	2	2	4
169	1	14	1402	7	7	14
170	1	14	1402	2	2	4
171	1	14	1402	3	3	6
172	1	14	1402	5	3	8
173	1	14	1402	9	13	22
174	1	14	1402	6	8	14
175	1	14	1402	0	1	1
177	1	14	1403	7	2	9
178	1	14	1403	63	66	129
179	1	14	1403	1	1	2
184	1	14	1403	0	0	0
185	1	14	1403	1	2	3
186	1	14	1403	0	1	1
187	1	14	1405	159	128	287
188	1	14	1405	78	70	148
191	1	14	1401	340	395	735
192	1	14	1401	15	26	41
193	1	14	1401	310	321	631
195	1	14	1401	113	110	223
196	1	14	1401	3	7	10
198	1	14	1401	49	39	88
199	2	23	2301	344	333	677
200	2	23	2301	333	294	627
201	2	23	2301	309	273	582
203	2	23	2301	320	286	606
204	2	23	2301	234	227	461
205	2	23	2301	290	254	544
206	2	23	2301	243	217	460
207	2	23	2301	49	22	71
208	2	23	2301	601	618	1219
209	2	23	2301	0	0	0
210	2	23	2302	349	315	664
211	2	23	2302	143	141	284
214	2	23	2302	6	8	14
217	2	22	2201	477	665	1142
218	2	22	2201	205	216	421
219	2	22	2201	673	263	936
220	2	22	2201	668	497	1165
222	2	22	2201	358	375	733
223	2	22	2201	376	265	641
224	2	22	2201	494	445	939
225	2	22	2201	547	526	1073
226	2	22	2201	480	456	936
227	2	22	2201	820	654	1474
228	2	22	2201	265	273	538
229	2	22	2201	320	239	559
230	2	22	2201	307	277	584
231	2	22	2201	350	329	679
232	2	22	2201	342	263	605
234	2	22	2201	0	0	0
235	2	22	2201	0	0	0
236	2	22	2201	103	91	194
237	2	22	2201	144	149	293
238	2	22	2201	147	78	225
239	2	22	2201	327	308	635
240	2	22	2201	338	269	607
241	2	22	2201	109	88	197
243	2	22	2201	8	11	19
244	2	22	2201	142	135	277
245	2	22	2201	56	66	122
246	2	22	2201	7	6	13
248	2	22	2201	2	2	4
249	2	22	2201	0	0	0
251	2	22	2201	0	0	0
252	2	22	2201	54	29	83
253	2	22	2201	444	447	891
254	2	22	2201	1	1001	1002
255	2	22	2201	510	522	1032
256	2	22	2201	877	747	1624
257	2	22	2201	576	501	1077
259	2	22	2201	56	61	117
261	2	22	2201	33	30	63
262	2	22	2201	114	94	208
265	2	22	2201	77	72	149
268	2	22	2202	18	13	31
269	2	22	2203	440	405	845
270	2	22	2203	113	119	232
271	2	22	2203	3	5	8
273	2	22	2203	15	12	27
274	2	22	2203	12	7	19
275	2	22	2203	1	1	2
276	2	22	2203	1	1	2
277	2	22	2203	10	22	32
279	2	21	2101	1561	561	2122
280	2	21	2101	699	852	1551
282	2	21	2101	11	6	17
283	2	21	2101	242	1183	1425
284	2	21	2101	527	421	948
285	2	21	2101	507	586	1093
286	2	21	2101	410	415	825
287	2	21	2101	407	672	1079
288	2	21	2101	622	613	1235
289	2	21	2101	342	273	615
291	2	21	2101	623	626	1249
292	2	21	2101	357	342	699
293	2	21	2101	700	600	1300
294	2	21	2101	417	394	811
296	2	21	2101	337	344	681
297	2	21	2101	322	274	596
298	2	21	2101	345	336	681
299	2	21	2101	0	0	0
301	2	21	2101	313	267	580
302	2	21	2101	258	230	488
303	2	21	2101	231	220	451
304	2	21	2101	774	794	1568
305	2	21	2101	652	547	1199
306	2	21	2101	185	156	341
307	2	21	2101	122	148	270
308	2	21	2101	0	0	0
310	2	21	2101	306	270	576
311	2	21	2101	158	80	238
312	2	21	2101	367	301	668
313	2	21	2101	579	584	1163
315	2	21	2101	190	175	365
316	2	21	2101	218	193	411
