Total;Mujeres;Hombres;Region;Comuna;Jornada
10;2;8;13;13123;1
77;23;54;13;13123;1
5;2;3;13;13123;2
147;57;90;13;13123;1
2;2;;13;13123;2
7;3;4;13;13123;2
5;3;2;13;13123;2
30;13;17;13;13123;1
265;223;42;13;13123;1
36;32;4;13;13123;1
43;8;35;13;13123;1
98;35;63;13;13123;1
5;;5;13;13123;2
6;3;3;13;13123;2
30;12;18;13;13123;2
28;3;25;13;13123;2
7;;7;13;13123;1
3;2;1;13;13123;2
121;64;57;13;13123;1
39;38;1;13;13123;3
93;66;27;13;13123;3
62;55;7;13;13123;3
41;35;6;13;13123;3
6;1;5;13;13123;2
7;6;1;13;13123;2
11;2;9;13;13123;2
72;64;8;13;13123;1
52;11;41;13;13123;2
135;57;78;13;13123;2
6;6;;13;13123;1
4;3;1;13;13123;2
60;60;;13;13123;1
82;79;3;13;13123;2
82;17;65;13;13123;1
1;1;;13;13123;2
34;34;;13;13123;1
27;27;;13;13123;2
22;11;11;13;13123;1
38;33;5;13;13123;1
185;131;54;13;13123;1
24;17;7;13;13123;2
40;33;7;13;13123;1
137;93;44;13;13123;1
337;153;184;13;13123;1
260;223;37;13;13123;1
62;31;31;13;13123;1
43;36;7;13;13123;1
701;353;348;13;13123;1
430;227;203;13;13123;2
2;2;;13;13123;1
14;14;;13;13123;2
6;5;1;13;13123;2
5;3;2;13;13123;2
8;2;6;13;13123;1
15;8;7;13;13123;2
3;;3;13;13123;2
4;3;1;13;13123;2
3;3;;13;13123;1
38;35;3;13;13123;2
34;28;6;13;13123;2
17;11;6;13;13123;2
3;2;1;13;13123;1
14;13;1;13;13123;1
2;2;;13;13123;2
19;15;4;13;13123;2
32;24;8;13;13123;1
8;6;2;13;13123;2
1;1;;13;13123;2
9;5;4;13;13123;2
30;28;2;13;13123;3
24;20;4;13;13123;1
13;7;6;13;13123;2
96;54;42;13;13123;1
225;178;47;13;13123;1
65;57;8;13;13123;1
86;84;2;13;13123;1
395;330;65;13;13123;1
1;;1;13;13123;1
89;39;50;13;13123;1
178;58;120;13;13123;1
77;6;71;13;13123;1
48;13;35;13;13123;1
384;168;216;13;13123;2
795;310;485;13;13123;1
107;54;53;13;13123;1
386;186;200;13;13123;1
106;85;21;13;13123;1
35;8;27;13;13123;1
35;22;13;13;13123;1
25;15;10;13;13123;1
1;;1;13;13123;4
56;39;17;13;13123;3
3;1;2;13;13123;2
85;18;67;13;13123;2
49;24;25;13;13123;1
33;29;4;13;13123;2
75;67;8;13;13123;3
49;33;16;13;13123;3
31;16;15;13;13123;2
41;32;9;13;13123;1
12;12;;13;13123;1
35;13;22;13;13123;1
58;27;31;13;13123;2
52;22;30;13;13123;1
14;11;3;13;13123;1
35;10;25;13;13123;1
35;6;29;13;13123;4
8;1;7;13;13123;1
12;8;4;13;13123;1
11;3;8;13;13123;3
5;3;2;13;13123;3
13;7;6;13;13123;2
43;8;35;13;13123;1
41;11;30;13;13123;1
51;35;16;13;13123;1
1;;1;13;13123;1
19;6;13;13;13123;2
1;;1;13;13123;1
35;7;28;13;13123;1
2;;2;13;13123;4
28;10;18;13;13123;3
84;51;33;13;13123;1
40;24;16;13;13123;3
41;27;14;13;13123;2
33;17;16;13;13123;1
51;30;21;13;13123;2
99;80;19;13;13123;2
