REGION;COMUNA;Destino;TipoVehiculo;Catalitico;NoCatalitico
1;1101;1.0;1.0;21196.0;425.0
1;1101;1.0;2.0;39248.0;777.0
1;1101;1.0;3.0;911.0;438.0
1;1101;1.0;4.0;909.0;8.0
1;1101;1.0;5.0;92.0;32.0
1;1101;1.0;6.0;385.0;20.0
1;1101;1.0;7.0;7214.0;139.0
1;1101;1.0;8.0;1552.0;26.0
1;1101;1.0;9.0;0.0;0.0
1;1101;2.0;1.0;2470.0;0.0
1;1101;2.0;2.0;176.0;0.0
1;1101;2.0;3.0;147.0;0.0
1;1101;2.0;4.0;428.0;0.0
1;1101;2.0;5.0;86.0;0.0
1;1101;2.0;6.0;0.0;0.0
1;1101;2.0;7.0;422.0;0.0
1;1101;2.0;8.0;121.0;5.0
1;1101;2.0;9.0;0.0;0.0
1;1101;3.0;1.0;1177.0;190.0
1;1101;3.0;2.0;546.0;41.0
1;1101;3.0;3.0;14.0;4.0
1;1101;3.0;4.0;0.0;0.0
1;1101;3.0;5.0;0.0;0.0
1;1101;3.0;6.0;228.0;13.0
1;1101;3.0;7.0;0.0;0.0
1;1107;1.0;1.0;7757.0;158.0
1;1107;1.0;2.0;16782.0;448.0
1;1107;1.0;3.0;185.0;193.0
1;1107;1.0;4.0;178.0;6.0
1;1107;1.0;5.0;23.0;14.0
1;1107;1.0;6.0;188.0;2.0
1;1107;1.0;7.0;3936.0;83.0
1;1107;1.0;8.0;333.0;9.0
1;1107;1.0;9.0;0.0;0.0
1;1107;2.0;1.0;1082.0;0.0
1;1107;2.0;2.0;88.0;0.0
1;1107;2.0;3.0;15.0;0.0
1;1107;2.0;4.0;218.0;0.0
1;1107;2.0;5.0;45.0;0.0
1;1107;2.0;6.0;1.0;0.0
1;1107;2.0;7.0;383.0;0.0
1;1107;2.0;8.0;40.0;0.0
1;1107;2.0;9.0;0.0;0.0
1;1107;3.0;1.0;1328.0;193.0
1;1107;3.0;2.0;667.0;13.0
1;1107;3.0;3.0;0.0;0.0
1;1107;3.0;4.0;0.0;0.0
1;1107;3.0;5.0;0.0;0.0
1;1107;3.0;6.0;175.0;0.0
1;1107;3.0;7.0;0.0;0.0
1;1401;1.0;1.0;1579.0;25.0
1;1401;1.0;2.0;2904.0;79.0
1;1401;1.0;3.0;48.0;36.0
1;1401;1.0;4.0;276.0;1.0
1;1401;1.0;5.0;4.0;1.0
1;1401;1.0;6.0;99.0;0.0
1;1401;1.0;7.0;2347.0;20.0
1;1401;1.0;8.0;51.0;0.0
1;1401;1.0;9.0;0.0;0.0
1;1401;2.0;1.0;31.0;0.0
1;1401;2.0;2.0;42.0;0.0
1;1401;2.0;3.0;1.0;0.0
1;1401;2.0;4.0;150.0;0.0
1;1401;2.0;5.0;2.0;0.0
1;1401;2.0;6.0;0.0;0.0
1;1401;2.0;7.0;185.0;0.0
1;1401;2.0;8.0;22.0;1.0
1;1401;2.0;9.0;0.0;0.0
1;1401;3.0;1.0;263.0;37.0
1;1401;3.0;2.0;192.0;0.0
1;1401;3.0;3.0;0.0;0.0
1;1401;3.0;4.0;0.0;0.0
1;1401;3.0;5.0;0.0;0.0
1;1401;3.0;6.0;23.0;1.0
1;1401;3.0;7.0;0.0;0.0
1;1402;1.0;1.0;27.0;1.0
1;1402;1.0;2.0;113.0;8.0
1;1402;1.0;3.0;0.0;1.0
1;1402;1.0;4.0;6.0;0.0
1;1402;1.0;5.0;0.0;0.0
1;1402;1.0;6.0;9.0;0.0
1;1402;1.0;7.0;123.0;1.0
1;1402;1.0;8.0;0.0;1.0
1;1402;1.0;9.0;0.0;0.0
1;1402;2.0;1.0;0.0;0.0
1;1402;2.0;2.0;0.0;0.0
1;1402;2.0;3.0;0.0;0.0
1;1402;2.0;4.0;3.0;0.0
1;1402;2.0;5.0;0.0;0.0
1;1402;2.0;6.0;0.0;0.0
1;1402;2.0;7.0;2.0;0.0
1;1402;2.0;8.0;0.0;0.0
1;1402;2.0;9.0;0.0;0.0
1;1402;3.0;1.0;36.0;7.0
1;1402;3.0;2.0;0.0;0.0
1;1402;3.0;3.0;0.0;0.0
1;1402;3.0;4.0;0.0;0.0
1;1402;3.0;5.0;1.0;0.0
1;1402;3.0;6.0;4.0;0.0
1;1402;3.0;7.0;0.0;0.0
1;1403;1.0;1.0;59.0;2.0
1;1403;1.0;2.0;176.0;3.0
1;1403;1.0;3.0;1.0;2.0
1;1403;1.0;4.0;2.0;0.0
1;1403;1.0;5.0;0.0;0.0
1;1403;1.0;6.0;3.0;0.0
1;1403;1.0;7.0;72.0;0.0
1;1403;1.0;8.0;6.0;0.0
1;1403;1.0;9.0;0.0;0.0
1;1403;2.0;1.0;1.0;0.0
1;1403;2.0;2.0;3.0;0.0
1;1403;2.0;3.0;0.0;0.0
